Iteration,SelectTime,BatchSize,Index,ResourcesCount,ExecutionPlan
        1,       116,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        2,       102,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        3,        94,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        4,        87,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        5,        95,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        6,       147,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        7,        84,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        8,        87,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
        9,        82,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       10,        90,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       11,        97,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       12,        92,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       13,        90,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       14,       102,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       15,        84,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       16,       104,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       17,        95,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       18,        93,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       19,        87,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       20,        91,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       21,        90,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       22,       104,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       23,        94,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       24,       102,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       25,       100,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       26,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       27,       114,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       28,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       29,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       30,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       31,        95,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       32,        95,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       33,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       34,        92,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       35,       101,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       36,        99,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       37,        90,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       38,       104,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       39,        82,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       40,        93,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       41,        92,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       42,        87,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       43,       100,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       44,        85,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       45,       101,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       46,        88,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       47,       104,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       48,        90,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
       49,        80,  1000000,   no_index,            10,"Parallel HashAggregate Seq Scan"
