Iteration,SelectTime,HashAgg,BatchSize,ExecutionPlan
        1,        34,         on,    10000,"HashAggregate Seq Scan"
        2,         7,         on,    10000,"HashAggregate Seq Scan"
        3,         8,         on,    10000,"HashAggregate Seq Scan"
        4,         6,         on,    10000,"HashAggregate Seq Scan"
        5,         6,         on,    10000,"HashAggregate Seq Scan"
        6,         7,         on,    10000,"HashAggregate Seq Scan"
        7,         6,         on,    10000,"HashAggregate Seq Scan"
        8,         8,         on,    10000,"HashAggregate Seq Scan"
        9,         5,         on,    10000,"HashAggregate Seq Scan"
       10,         6,         on,    10000,"HashAggregate Seq Scan"
       11,         6,         on,    10000,"HashAggregate Seq Scan"
       12,         6,         on,    10000,"HashAggregate Seq Scan"
       13,         9,         on,    10000,"HashAggregate Seq Scan"
       14,         9,         on,    10000,"HashAggregate Seq Scan"
       15,         8,         on,    10000,"HashAggregate Seq Scan"
       16,         9,         on,    10000,"HashAggregate Seq Scan"
       17,        11,         on,    10000,"HashAggregate Seq Scan"
       18,         9,         on,    10000,"HashAggregate Seq Scan"
       19,         8,         on,    10000,"HashAggregate Seq Scan"
       20,         8,         on,    10000,"HashAggregate Seq Scan"
       21,         9,         on,    10000,"HashAggregate Seq Scan"
       22,         9,         on,    10000,"HashAggregate Seq Scan"
       23,         9,         on,    10000,"HashAggregate Seq Scan"
       24,         8,         on,    10000,"HashAggregate Seq Scan"
       25,         8,         on,    10000,"HashAggregate Seq Scan"
       26,        12,         on,    10000,"HashAggregate Seq Scan"
       27,         8,         on,    10000,"HashAggregate Seq Scan"
       28,         8,         on,    10000,"HashAggregate Seq Scan"
       29,         8,         on,    10000,"HashAggregate Seq Scan"
       30,         8,         on,    10000,"HashAggregate Seq Scan"
       31,         8,         on,    10000,"HashAggregate Seq Scan"
       32,         7,         on,    10000,"HashAggregate Seq Scan"
       33,         4,         on,    10000,"HashAggregate Seq Scan"
       34,         4,         on,    10000,"HashAggregate Seq Scan"
       35,         4,         on,    10000,"HashAggregate Seq Scan"
       36,         4,         on,    10000,"HashAggregate Seq Scan"
       37,         4,         on,    10000,"HashAggregate Seq Scan"
       38,         5,         on,    10000,"HashAggregate Seq Scan"
       39,         3,         on,    10000,"HashAggregate Seq Scan"
       40,         4,         on,    10000,"HashAggregate Seq Scan"
       41,         4,         on,    10000,"HashAggregate Seq Scan"
       42,         4,         on,    10000,"HashAggregate Seq Scan"
       43,         5,         on,    10000,"HashAggregate Seq Scan"
       44,         4,         on,    10000,"HashAggregate Seq Scan"
       45,         4,         on,    10000,"HashAggregate Seq Scan"
       46,         4,         on,    10000,"HashAggregate Seq Scan"
       47,         4,         on,    10000,"HashAggregate Seq Scan"
       48,         4,         on,    10000,"HashAggregate Seq Scan"
       49,         4,         on,    10000,"HashAggregate Seq Scan"
