Iteration,SelectTime,Index,BatchSize,ExecutionPlan
        1,       20,   no_index,    10000,"HashAggregate Seq Scan"
        2,        6,   no_index,    10000,"HashAggregate Seq Scan"
        3,        9,   no_index,    10000,"HashAggregate Seq Scan"
        4,        6,   no_index,    10000,"HashAggregate Seq Scan"
        5,        6,   no_index,    10000,"HashAggregate Seq Scan"
        6,        6,   no_index,    10000,"HashAggregate Seq Scan"
        7,        6,   no_index,    10000,"HashAggregate Seq Scan"
        8,        6,   no_index,    10000,"HashAggregate Seq Scan"
        9,        6,   no_index,    10000,"HashAggregate Seq Scan"
       10,        5,   no_index,    10000,"HashAggregate Seq Scan"
       11,        6,   no_index,    10000,"HashAggregate Seq Scan"
       12,        7,   no_index,    10000,"HashAggregate Seq Scan"
       13,        8,   no_index,    10000,"HashAggregate Seq Scan"
       14,        7,   no_index,    10000,"HashAggregate Seq Scan"
       15,        7,   no_index,    10000,"HashAggregate Seq Scan"
       16,        8,   no_index,    10000,"HashAggregate Seq Scan"
       17,       11,   no_index,    10000,"HashAggregate Seq Scan"
       18,        6,   no_index,    10000,"HashAggregate Seq Scan"
       19,        9,   no_index,    10000,"HashAggregate Seq Scan"
       20,        9,   no_index,    10000,"HashAggregate Seq Scan"
       21,        5,   no_index,    10000,"HashAggregate Seq Scan"
       22,        7,   no_index,    10000,"HashAggregate Seq Scan"
       23,        6,   no_index,    10000,"HashAggregate Seq Scan"
       24,        5,   no_index,    10000,"HashAggregate Seq Scan"
       25,        6,   no_index,    10000,"HashAggregate Seq Scan"
       26,        6,   no_index,    10000,"HashAggregate Seq Scan"
       27,        6,   no_index,    10000,"HashAggregate Seq Scan"
       28,       11,   no_index,    10000,"HashAggregate Seq Scan"
       29,        9,   no_index,    10000,"HashAggregate Seq Scan"
       30,        8,   no_index,    10000,"HashAggregate Seq Scan"
       31,        9,   no_index,    10000,"HashAggregate Seq Scan"
       32,       12,   no_index,    10000,"HashAggregate Seq Scan"
       33,        7,   no_index,    10000,"HashAggregate Seq Scan"
       34,        9,   no_index,    10000,"HashAggregate Seq Scan"
       35,       12,   no_index,    10000,"HashAggregate Seq Scan"
       36,       13,   no_index,    10000,"HashAggregate Seq Scan"
       37,       13,   no_index,    10000,"HashAggregate Seq Scan"
       38,       11,   no_index,    10000,"HashAggregate Seq Scan"
       39,       11,   no_index,    10000,"HashAggregate Seq Scan"
       40,       11,   no_index,    10000,"HashAggregate Seq Scan"
       41,       11,   no_index,    10000,"HashAggregate Seq Scan"
       42,        8,   no_index,    10000,"HashAggregate Seq Scan"
       43,        8,   no_index,    10000,"HashAggregate Seq Scan"
       44,        7,   no_index,    10000,"HashAggregate Seq Scan"
       45,        8,   no_index,    10000,"HashAggregate Seq Scan"
       46,        9,   no_index,    10000,"HashAggregate Seq Scan"
       47,        8,   no_index,    10000,"HashAggregate Seq Scan"
       48,        7,   no_index,    10000,"HashAggregate Seq Scan"
       49,       12,   no_index,    10000,"HashAggregate Seq Scan"
       50,       11,   no_index,    10000,"HashAggregate Seq Scan"
       51,        9,resource_billing-date,    10000,"HashAggregate Seq Scan"
       52,        4,resource_billing-date,    10000,"HashAggregate Seq Scan"
       53,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       54,        4,resource_billing-date,    10000,"HashAggregate Seq Scan"
       55,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       56,        4,resource_billing-date,    10000,"HashAggregate Seq Scan"
       57,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       58,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       59,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       60,        5,resource_billing-date,    10000,"HashAggregate Seq Scan"
       61,        7,resource_billing-date,    10000,"HashAggregate Seq Scan"
       62,        6,resource_billing-date,    10000,"HashAggregate Seq Scan"
       63,        4,resource_billing-date,    10000,"HashAggregate Seq Scan"
