Iteration,SelectTime,Parallelism,BatchSize,ExecutionPlan
        1,       20,    default,    10000,"HashAggregate Seq Scan"
        2,        9,    default,    10000,"HashAggregate Seq Scan"
        3,       12,    default,    10000,"HashAggregate Seq Scan"
        4,       10,    default,    10000,"HashAggregate Seq Scan"
        5,       11,    default,    10000,"HashAggregate Seq Scan"
        6,       10,    default,    10000,"HashAggregate Seq Scan"
        7,        7,    default,    10000,"HashAggregate Seq Scan"
        8,        7,    default,    10000,"HashAggregate Seq Scan"
        9,        8,    default,    10000,"HashAggregate Seq Scan"
       10,        9,    default,    10000,"HashAggregate Seq Scan"
       11,        6,    default,    10000,"HashAggregate Seq Scan"
       12,        6,    default,    10000,"HashAggregate Seq Scan"
       13,        6,    default,    10000,"HashAggregate Seq Scan"
       14,        7,    default,    10000,"HashAggregate Seq Scan"
       15,        7,    default,    10000,"HashAggregate Seq Scan"
       16,       11,    default,    10000,"HashAggregate Seq Scan"
       17,       13,    default,    10000,"HashAggregate Seq Scan"
       18,       11,    default,    10000,"HashAggregate Seq Scan"
       19,        9,    default,    10000,"HashAggregate Seq Scan"
       20,       11,    default,    10000,"HashAggregate Seq Scan"
       21,       10,    default,    10000,"HashAggregate Seq Scan"
       22,       10,    default,    10000,"HashAggregate Seq Scan"
       23,        8,    default,    10000,"HashAggregate Seq Scan"
       24,        7,    default,    10000,"HashAggregate Seq Scan"
       25,        7,    default,    10000,"HashAggregate Seq Scan"
       26,        8,    default,    10000,"HashAggregate Seq Scan"
       27,       12,    default,    10000,"HashAggregate Seq Scan"
       28,        7,    default,    10000,"HashAggregate Seq Scan"
       29,        9,    default,    10000,"HashAggregate Seq Scan"
       30,       11,    default,    10000,"HashAggregate Seq Scan"
       31,       12,    default,    10000,"HashAggregate Seq Scan"
       32,       12,    default,    10000,"HashAggregate Seq Scan"
       33,       10,    default,    10000,"HashAggregate Seq Scan"
       34,        7,    default,    10000,"HashAggregate Seq Scan"
       35,        5,    default,    10000,"HashAggregate Seq Scan"
       36,        4,    default,    10000,"HashAggregate Seq Scan"
       37,        5,    default,    10000,"HashAggregate Seq Scan"
       38,        4,    default,    10000,"HashAggregate Seq Scan"
       39,        6,    default,    10000,"HashAggregate Seq Scan"
       40,        4,    default,    10000,"HashAggregate Seq Scan"
       41,        5,    default,    10000,"HashAggregate Seq Scan"
       42,        5,    default,    10000,"HashAggregate Seq Scan"
       43,        4,    default,    10000,"HashAggregate Seq Scan"
       44,        4,    default,    10000,"HashAggregate Seq Scan"
       45,        4,    default,    10000,"HashAggregate Seq Scan"
       46,        5,    default,    10000,"HashAggregate Seq Scan"
       47,        5,    default,    10000,"HashAggregate Seq Scan"
       48,        5,    default,    10000,"HashAggregate Seq Scan"
       49,        4,    default,    10000,"HashAggregate Seq Scan"
       50,        5,    default,    10000,"HashAggregate Seq Scan"
       51,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       52,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       53,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       54,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       55,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       56,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       57,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       58,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       59,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       60,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       61,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       62,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       63,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       64,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       65,        6,     forced,    10000,"Parallel HashAggregate Seq Scan"
       66,        6,     forced,    10000,"Parallel HashAggregate Seq Scan"
       67,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       68,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       69,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       70,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       71,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       72,        9,     forced,    10000,"Parallel HashAggregate Seq Scan"
       73,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       74,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       75,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       76,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       77,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       78,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       79,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       80,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       81,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       82,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       83,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       84,        6,     forced,    10000,"Parallel HashAggregate Seq Scan"
       85,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       86,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       87,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       88,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       89,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       90,        9,     forced,    10000,"Parallel HashAggregate Seq Scan"
       91,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       92,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       93,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       94,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
       95,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       96,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       97,        6,     forced,    10000,"Parallel HashAggregate Seq Scan"
       98,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
       99,        7,     forced,    10000,"Parallel HashAggregate Seq Scan"
      100,        8,     forced,    10000,"Parallel HashAggregate Seq Scan"
      101,        4,    default,    13600,"HashAggregate Seq Scan"
      102,        5,    default,    13600,"HashAggregate Seq Scan"
      103,        5,    default,    13600,"HashAggregate Seq Scan"
      104,        5,    default,    13600,"HashAggregate Seq Scan"
      105,        6,    default,    13600,"HashAggregate Seq Scan"
      106,        4,    default,    13600,"HashAggregate Seq Scan"
      107,        4,    default,    13600,"HashAggregate Seq Scan"
      108,        4,    default,    13600,"HashAggregate Seq Scan"
      109,        5,    default,    13600,"HashAggregate Seq Scan"
      110,        5,    default,    13600,"HashAggregate Seq Scan"
      111,        5,    default,    13600,"HashAggregate Seq Scan"
      112,        5,    default,    13600,"HashAggregate Seq Scan"
      113,        4,    default,    13600,"HashAggregate Seq Scan"
      114,        4,    default,    13600,"HashAggregate Seq Scan"
      115,        4,    default,    13600,"HashAggregate Seq Scan"
      116,        5,    default,    13600,"HashAggregate Seq Scan"
      117,        5,    default,    13600,"HashAggregate Seq Scan"
      118,        4,    default,    13600,"HashAggregate Seq Scan"
      119,        5,    default,    13600,"HashAggregate Seq Scan"
      120,        5,    default,    13600,"HashAggregate Seq Scan"
      121,        5,    default,    13600,"HashAggregate Seq Scan"
      122,        5,    default,    13600,"HashAggregate Seq Scan"
      123,        4,    default,    13600,"HashAggregate Seq Scan"
      124,        5,    default,    13600,"HashAggregate Seq Scan"
      125,        5,    default,    13600,"HashAggregate Seq Scan"
      126,        8,    default,    13600,"HashAggregate Seq Scan"
      127,        5,    default,    13600,"HashAggregate Seq Scan"
      128,        5,    default,    13600,"HashAggregate Seq Scan"
      129,        4,    default,    13600,"HashAggregate Seq Scan"
      130,        4,    default,    13600,"HashAggregate Seq Scan"
      131,        6,    default,    13600,"HashAggregate Seq Scan"
      132,        4,    default,    13600,"HashAggregate Seq Scan"
      133,        5,    default,    13600,"HashAggregate Seq Scan"
      134,        5,    default,    13600,"HashAggregate Seq Scan"
      135,        4,    default,    13600,"HashAggregate Seq Scan"
      136,        4,    default,    13600,"HashAggregate Seq Scan"
      137,        4,    default,    13600,"HashAggregate Seq Scan"
      138,        5,    default,    13600,"HashAggregate Seq Scan"
      139,        4,    default,    13600,"HashAggregate Seq Scan"
      140,        5,    default,    13600,"HashAggregate Seq Scan"
      141,        5,    default,    13600,"HashAggregate Seq Scan"
      142,        4,    default,    13600,"HashAggregate Seq Scan"
      143,        4,    default,    13600,"HashAggregate Seq Scan"
      144,       12,    default,    13600,"HashAggregate Seq Scan"
      145,        4,    default,    13600,"HashAggregate Seq Scan"
      146,        4,    default,    13600,"HashAggregate Seq Scan"
      147,        5,    default,    13600,"HashAggregate Seq Scan"
      148,        5,    default,    13600,"HashAggregate Seq Scan"
      149,        6,    default,    13600,"HashAggregate Seq Scan"
      150,        5,    default,    13600,"HashAggregate Seq Scan"
      151,        8,     forced,    13600,"Parallel HashAggregate Seq Scan"
      152,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      153,        8,     forced,    13600,"Parallel HashAggregate Seq Scan"
      154,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      155,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      156,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      157,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      158,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      159,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      160,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      161,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      162,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      163,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      164,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      165,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      166,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      167,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
      168,        7,     forced,    13600,"Parallel HashAggregate Seq Scan"
      169,        6,     forced,    13600,"Parallel HashAggregate Seq Scan"
